,Unnamed: 0,flare_id,tstart,tpeak,tend,peak_flux,BG_flux,flux_int,ratio,flux_int_corrected,delta_flux,fclass_simple,fclass_full,abs_class_simple,abs_class_full,flare_x,flare_y,Lon [Helioprojective],Lat [Helioprojective],Lon [Heliographic],Lat [Heliographic]
32,130466,2013--10508,2013-11-05 22:05:00,2013-11-05 22:12:00,2013-11-05 22:38:00,0.0004925068,1.7488e-06,0.0019817409,279.4716441629,0.0019257778,0.0004907445,X,X4.9,X,X4.9,949.468654670806,1806.0063243035584,-661.5220589158125,-144.1738128775013,-43.196812186691886,-5.714195703127784
33,130639,2013--10626,2013-11-08 04:14:00,2013-11-08 04:25:00,2013-11-08 04:50:00,0.0001615726,8.680000000000001e-07,0.0009283178,185.7821285563,0.0008979364,0.0001607029,X,X1.6,X,X1.6,1656.769663228602,1574.965140689529,-237.45736675569788,-282.5387172114062,-14.546147066148137,-13.38696322908343
34,130771,2013--10716,2013-11-10 05:08:00,2013-11-10 05:14:00,2013-11-10 05:45:00,0.0001620127,3.3561e-06,0.0012145029,48.1019815082,0.0010936832,0.0001586446,X,X1.5,X,X1.6,,,,,,
35,131448,2013--11149,2013-11-19 09:47:00,2013-11-19 10:26:00,2013-11-19 12:22:00,0.0001486174,8.435000000000001e-07,0.0032151171,175.3549304342,0.0030852181,0.0001477699,X,X1.4,X,X1.4,,,,,,
36,133984,2014--43,2014-01-01 18:39:00,2014-01-01 18:52:00,2014-01-01 19:32:00,0.0001424987,2.7703e-06,0.0029566697,51.3617052274,0.0028126159,0.0001397243,X,X1.3,X,X1.4,3185.9734410577494,1650.1767293476416,677.5558491087819,-236.1687591518023,46.07130592162402,-16.107194939276603
37,134397,2014--292,2014-01-07 10:05:00,2014-01-07 10:13:00,2014-01-07 10:18:00,0.000103701,1.2518e-06,0.0005930709,82.7844473248,0.0005780498,0.0001024483,X,X1.0,X,X1.0,1608.132765406505,1814.809362664851,-267.8452518035192,-138.11101097985224,-16.192100035390524,-11.694943182649025
38,134421,2014--307,2014-01-07 17:59:00,2014-01-07 18:32:00,2014-01-07 20:41:00,0.0001792143,1.3488e-06,0.0085870808,132.7899679273,0.0083699194,0.0001778647,X,X1.7,X,X1.7,2358.478265093833,1757.0808569885246,181.9902749137376,-172.56664371766922,11.021900520454082,-13.828584167275714
39,137672,2014--2429,2014-02-25 00:38:00,2014-02-25 00:49:00,2014-02-25 03:44:00,0.000712959,1.4187e-06,0.0166770026,502.1369797099,0.0164145345,0.0007115392,X,X7.1,X,X7.1,509.7215822185535,1721.8702353783776,-925.8855943710078,-194.301174341589,-78.36590561533569,-13.089417121941942
40,138739,2014--3154,2014-03-12 22:28:00,2014-03-12 22:34:00,2014-03-13 00:31:00,0.0001340998,1.1624e-06,0.001950249,115.051900613,0.0018084328,0.0001329343,X,X1.3,X,X1.3,3572.4223071505467,2430.932029728204,909.9535110126343,230.86528278335598,74.12673878832771,11.935156048743881
41,139806,2014--3886,2014-03-29 17:42:00,2014-03-29 17:48:00,2014-03-29 18:23:00,0.0001449829,3.4780000000000004e-06,0.0014230329,41.4437869555,0.0012839115,0.0001414846,X,X1.4,X,X1.4,2904.8964889396725,2459.394026365614,510.0065567427043,247.7923962309272,32.38478031445354,9.267232164860472
